FAM	D	T	L
fix_1479_c60_lg_combined.ale.uml_rec	0.0747175	1e-06	0.277621
fix_1641_c60_lg_combined.ale.uml_rec	1e-06	0.408127	0.479963
fix_3634_c60_lg_combined.ale.uml_rec	1e-06	0.126991	1e-06
fix_280_c60_lg_combined.ale.uml_rec	3.56133e-05	0.196478	0.240022
fix_3996_c60_lg_combined.ale.uml_rec	1.07809	1e-06	0.363017
fix_4142_c60_lg_combined.ale.uml_rec	1e-06	0.0916787	0.395599
fix_938_c60_lg_combined.ale.uml_rec	0.0590285	0.137409	0.371237
fix_4466_c60_lg_combined.ale.uml_rec	1e-06	1e-06	0.182987
fix_4558_c60_lg_combined.ale.uml_rec	0.425794	0.451701	0.896796
fix_3310_c60_lg_combined.ale.uml_rec	1e-06	1e-06	1e-06
fix_806_c60_lg_combined.ale.uml_rec	0.366658	0.403601	0.402961
fix_1365_c60_lg_combined.ale.uml_rec	0.219934	0.537786	0.526869
fix_5199_c60_lg_combined.ale.uml_rec	0.442083	8.93655e-06	0.0970607
fix_3128_c60_lg_combined.ale.uml_rec	0.182974	1e-06	0.589783
fix_4760_c60_lg_combined.ale.uml_rec	0.277404	0.221904	0.270247
fix_3016_c60_lg_combined.ale.uml_rec	0.206949	0.292109	0.549528
fix_2873_c60_lg_combined.ale.uml_rec	0.359738	0.0841944	0.676687
fix_1063_c60_lg_combined.ale.uml_rec	1e-06	0.347904	0.133612
fix_1499_c60_lg_combined.ale.uml_rec	0.649052	0.466595	0.492619
fix_2215_c60_lg_combined.ale.uml_rec	1e-06	0.324137	0.599065
fix_166_c60_lg_combined.ale.uml_rec	0.0907258	0.135738	0.23694
fix_47_c60_lg_combined.ale.uml_rec	0.22282	0.364888	0.410288
fix_3848_c60_lg_combined.ale.uml_rec	1e-06	0.130305	0.00292664
fix_2113_c60_lg_combined.ale.uml_rec	1e-06	0.396919	0.674407
fix_1903_c60_lg_combined.ale.uml_rec	0.000248699	0.618054	0.50933
fix_3976_c60_lg_combined.ale.uml_rec	0.538102	1e-06	0.0759378
fix_260_c60_lg_combined.ale.uml_rec	0.157009	0.23727	0.476197
fix_4486_c60_lg_combined.ale.uml_rec	0.000485672	0.464152	0.431504
fix_744_c60_lg_combined.ale.uml_rec	0.192028	0.423442	0.501884
fix_2437_c60_lg_combined.ale.uml_rec	0.083181	1e-06	1e-06
